###############
#    GaPSE    #
############### 
#
# This is the sum of all the GR effects TPCFs without window F:
# LD (16), GNC (25), GNCxLD (20), LDxGNC (20)
#
# The Cosmology considered had the following paremeters:
# 
# - Matter Power Spectrum input file: "../test/datatest/file_pk.txt"
# - Background data input file: "../test/datatest/WideA_ZA_background.dat"
# - F window function input file: "../data/F_REFERENCE_pi2.txt"
# - Integrated F window function input file: "../data/IntF_pi2_z115.txt"
#
# - Basic CosmoParams considered: 
#	 z_min = 1.0 	 z_max = 1.5
#	 θ_max = 1.5707963267948966 [rad] 	 h_0 = 0.7
#	 Ω_b = 0.0489 	 Ω_cdm = 0.25102 	 Ω_M0 = 0.29992
#	 b = 1.0 	 f_evo = 0.0 	 s_b = 0.0
#
# - CosmoParams about the Input Power Spectrum: 
#	 fit_left_min = 1.0e-6 	 fit_right_min = 10.0 	 
#	 fit_left_max = 3.0e-6 	 fit_right_max = 20.0 	 
#
# - CosmoParams about the Input Power Spectrum Tools: 
#	 k_max = 10.0 	 fit_max = 0.5 	 N = 1024 	 
#	 con = true 	 k_min = 1.0e-8 	 fit_min = 0.05 	 
#
# - CosmoParams about the Integrated Window Function F: 
#	 ss_step = 50 	 N = 1000 	 rtol = 0.05 	 
#	 llim = 0.0 	 atol = 0.0 	 rlim = Inf 	 
#	 ss_stop = 0.0 	 trap = true 	 ss_start = 0.0 	 
#
# - Computed quantities: 
# 	 effective redshift z_eff = 1.2613556177172356 
# 	 comoving s_min = 2312.577431755554 Mpc/h_0
# 	 comoving s_max = 3054.4830200675647 Mpc/h_0
# 	 comoving s_eff = 2725.87720083235 Mpc/h_0
# 	 Volume of the survey V_survey = 3.378305693005294e10 Mpc^3/h_0^3
# 	 σ_0 = 15.593462966741178
# 	 σ_1 = 15.074895881392285
# 	 σ_2 = 100.85852368830226
# 	 σ_3 = 3735.1226181519773
# 	 (where σ_i = \int_{k_{min}}^{k_{max}}\frac{dq}{2 π^2} q^{2-i} P(q))
# 
# s [Mpc/h_0] 	 xi_ALLSUMMED_noF
28.623652519566928 	 0.02130004437519485
29.128100255819334 	 0.020482022298935854
29.64143810553424 	 0.0195927545781748
30.16382274325235 	 0.017458845276397388
30.69541360466149 	 0.01792310039772708
31.236372935257677 	 0.01818405744651235
31.786865839863584 	 0.016387253864889605
32.34706033301979 	 0.019697432659750942
32.91712739026405 	 0.012684303072799347
33.49724100031435 	 0.01427341876287542
34.08757821817146 	 0.013615146105354426
34.68831921915758 	 0.012981297537044538
35.29964735390708 	 0.010957118853893109
35.92174920432655 	 0.011860239858276096
36.554814640540975 	 0.011239876120232029
37.19903687884344 	 0.010692201764408236
37.85461254066628 	 0.010204602920983706
38.5217417125914 	 0.009694618661230434
39.20062800741813 	 0.007433527277769805
39.89147862630742 	 0.00876585186255213
40.594504422021174 	 0.008316625565058902
41.30991996327603 	 0.007907830880525669
42.03794360023143 	 0.0075094274470510515
42.778797531131644 	 0.007125202307716582
43.532707870122366 	 0.006761834252497343
44.29990471626244 	 0.006407632594068935
45.08062222375173 	 0.006069026012166523
45.87509867339686 	 0.00573529996588948
46.68357654533621 	 0.005438192041440486
47.50630259304667 	 0.0051448503736102056
48.34352791865465 	 0.004865384018332004
49.195508049574364 	 0.004657060067626572
50.06250301649657 	 0.004197423041198087
50.94477743275206 	 0.004117352699329734
51.8426005750735 	 0.0038470249878801866
52.75624646578071 	 0.0036347582697494824
53.68599395641439 	 0.003424193850303687
54.63212681284355 	 0.003223403335246392
55.59493380187314 	 0.0030233709603032497
56.5747087793777 	 0.0028400458612140695
57.57175077998846 	 0.0027037764306364486
58.58636410836086 	 0.0025080488342455014
59.61885843205068 	 0.0023486152113840492
60.66954887602675 	 0.0019703183256469387
61.738756118849636 	 0.0020436706080488843
62.826806490544975 	 0.0019181219055889704
63.93403207220191 	 0.002572586946721416
65.0607707973267 	 0.0016394478931658018
66.20736655498246 	 0.0016493157996004626
67.37416929474684 	 0.0013541418099850923
68.5615351335191 	 0.0013365375875898139
69.76982646420971 	 0.0012359784103832248
70.99941206634539 	 0.0011398154795102412
72.25066721862329 	 0.001047222825469585
73.52397381344888 	 0.0009620372699056739
74.81972047349241 	 0.0008787044652175609
76.13830267029941 	 0.0007981155331819555
77.48012284499157 	 0.0007229924643467167
78.84559053109479 	 0.0006570550371449476
80.2351224795317 	 0.0006204440663256624
81.64914278581742 	 0.0004707408390850431
83.08808301949652 	 6.429472586219085e-5
84.55238235586127 	 0.00042439566278510045
86.04248770999126 	 0.00041227091940663135
87.5588538731551 	 0.0003784304923794863
89.10194365161628 	 0.0003918160796036411
90.67222800788498 	 0.00042551099277507605
92.27018620445939 	 0.0005270183324589169
93.89630595010014 	 0.0005795073729144151
95.55108354868277 	 0.0006553328674702907
97.23502405067315 	 0.0008866683694921688
98.9486414072729 	 0.0008833958912254857
100.69245862728103 	 0.0009623845835313402
102.46700793672014 	 0.0009577831612192082
104.27283094127554 	 0.0009279626967496022
106.11047879159794 	 0.0008740246229477219
107.98051235151794 	 0.0007639489459897862
109.8835023692267 	 0.0006447003957836667
111.82002965147176 	 0.0005312231665599565
113.79068524082398 	 0.0004112143629739495
115.79607059606842 	 0.00030588775172465195
117.83679777577332 	 0.00020957532026316577
119.91348962509578 	 0.00011822516553733319
122.026779965878 	 6.0277784296704234e-5
124.17731379009476 	 4.350549729101403e-6
126.36574745671011 	 -4.149710072100734e-5
128.59274889200225 	 -7.490829006079902e-5
130.8589977934205 	 -0.00011134100157517204
133.16518583703325 	 -0.00011740367507658624
135.51201688863299 	 -0.00013348039802744572
137.90020721856175 	 -0.00014853184836012
140.3304857203213 	 -0.0001468195468614302
142.80359413303793 	 -0.00014941773361040086
145.32028726784566 	 -0.00015852710301698586
147.88133323826136 	 -0.00014841917798064712
150.48751369461772 	 -0.00014392109346831036
153.13962406262917 	 -0.00013993163659087326
155.83847378616224 	 -0.00013686915687937957
158.58488657428276 	 -0.00011073084904300512
161.37970065265932 	 -0.00012683496012057323
164.22376901939475 	 -0.00011666832446015376
167.11795970536812 	 -0.00011759952958576608
170.06315603916474 	 -0.0001118835902847008
173.06025691667327 	 -0.00010539934569808481
176.1101770754371 	 -0.00011095069588786106
179.2138473738376 	 -9.820987486562972e-5
182.3722150751998 	 -9.022243142142639e-5
185.58624413690444 	 -8.454934972298101e-5
188.85691550459407 	 -8.118200410729108e-5
192.1852274115662 	 -8.280150807323693e-5
195.57219568344027 	 -7.025828162136908e-5
199.01885404819578 	 -6.762607253239211e-5
202.5262544516745 	 -6.352418573666927e-5
206.09546737864056 	 -6.462607035545058e-5
209.7275821795022 	 -5.973462197713144e-5
213.42370740278793 	 -5.4648677162911e-5
217.18497113348542 	 -5.29943316496005e-5
221.0125213373401 	 -5.084641080782299e-5
224.90752621122337 	 -4.485144755827208e-5
228.87117453967576 	 -4.23256442085668e-5
232.90467605773122 	 -4.0435510367694865e-5
237.00926182013913 	 -3.9761147039606234e-5
241.18618457708976 	 -3.755964621781971e-5
245.43671915656367 	 -3.490294561322076e-5
249.7621628534194 	 -3.3188087766477925e-5
254.16383582533592 	 -2.7649485788311408e-5
258.64308149573657 	 -2.618931409002875e-5
263.20126696381004 	 -2.3522087495711396e-5
267.8397834217601 	 -2.3087283742393755e-5
272.56004657940866 	 -3.69384457960636e-5
277.36349709627893 	 -2.514668890758159e-5
282.25160102129786 	 -1.853787040128645e-5
287.22585024024306 	 -1.4360295388499883e-5
292.2877629310785 	 -1.4845873436943658e-5
297.4388840273143 	 -1.5580696301503062e-5
302.6807856895305 	 -2.7981301817128007e-5
308.0150677852139 	 -1.8976587033984027e-5
313.44335837704745 	 -1.0637216970492727e-5
318.9673142198097 	 -5.627342161402076e-6
324.5886212660263 	 -2.792076571195341e-7
330.30899518053633 	 -1.9227924005787876e-5
336.13018186412717 	 -1.0318741040944033e-5
342.05395798639364 	 -1.5817611362455833e-5
348.082131527994 	 -8.052785580762063e-6
354.2165423324566 	 -8.211364152017752e-6
360.45906266771465 	 -1.0058165707539083e-5
366.81159779753773 	 -6.681897716709773e-6
373.2760865630298 	 -1.0351203632257222e-5
379.8545019743811 	 -9.108480733529597e-6
