###############
#    GaPSE    #
############### 
#
# This is an integration map of the function \mathcal{F}(s, \mu), defined as:
# \mathcal{F}(s, \mu) = \int_0^\infty dp p^2 \phi(p) \phi(\sqrt{p^2 + s^2 + 2 p s \mu}) F(s/p, \mu)
# where F(x, \mu) is stored in a WindowF struct (for its analytical definition, check the code.
#
#
# s [h_0^{-1} Mpc] 	 mu 	 IF
400.0	 0.96 	 2.7335423610954117e7
400.0	 0.97 	 2.767115180292289e7
400.0	 0.98 	 2.8260320554813106e7
400.0	 0.99 	 2.832582791713395e7
400.0	 1.0 	 0.0
450.0	 -1.0 	 0.0
450.0	 -0.99 	 3.765276370556564e7
450.0	 -0.98 	 1.780168887161761e8
450.0	 -0.97 	 4.027145770757711e8
450.0	 -0.96 	 6.467211889471483e8
450.0	 -0.95 	 9.165494598581667e8
450.0	 -0.94 	 1.2582756883173366e9
450.0	 -0.93 	 1.2731192266186407e9
450.0	 -0.92 	 1.2824139914737935e9
450.0	 -0.91 	 1.2940976517732468e9
450.0	 -0.9 	 1.3058984831972315e9
450.0	 -0.85 	 1.3519211819542096e9
450.0	 -0.8 	 1.3896766300545282e9
450.0	 -0.75 	 1.4221270765168834e9
450.0	 -0.7 	 1.455978958222313e9
450.0	 -0.65 	 1.4872985601863866e9
450.0	 -0.6 	 1.511504148214926e9
450.0	 -0.55 	 1.5363896475124557e9
450.0	 -0.5 	 1.5617430026353776e9
450.0	 -0.45 	 1.5905515868429835e9
450.0	 -0.4 	 1.6106685180504117e9
450.0	 -0.35 	 1.371970014649371e9
450.0	 -0.3 	 1.1587996301277292e9
450.0	 -0.25 	 9.704894625962985e8
450.0	 -0.2 	 8.03347715137833e8
450.0	 -0.15 	 6.571323349652917e8
450.0	 -0.1 	 5.285327469889167e8
450.0	 -0.05 	 4.400013424299589e8
450.0	 0.0 	 3.6130111379681414e8
450.0	 0.05 	 2.91893388345862e8
450.0	 0.1 	 2.4679847937681508e8
450.0	 0.15 	 1.9174996004350588e8
450.0	 0.2 	 1.5631147994063815e8
450.0	 0.25 	 1.2477164517190878e8
450.0	 0.3 	 1.0643607261471677e8
450.0	 0.35 	 8.057458123796147e7
450.0	 0.4 	 6.564928329165087e7
450.0	 0.45 	 5.201236593653468e7
450.0	 0.5 	 3.922261985468046e7
450.0	 0.55 	 2.783942722830431e7
450.0	 0.6 	 2.2801984563282907e7
450.0	 0.65 	 1.294438370045976e7
450.0	 0.7 	 8.440425660753993e6
450.0	 0.75 	 4.165654542924896e6
450.0	 0.8 	 0.0
