# Integrands of the sigma_i: q^(2-i) * P(q) / (2 pi^2)
# Input Power Spectrum: WideA_ZA_pk.dat
# q 	 integrand_i=0 	 integrand_i=1 	 integrand_i=2 	 integrand_i=3 	 integrand_i=4
3.971892573273302e-6 	 1.5725460340132386e-11 	 3.959185715632982e-6 	 0.9968008053073177 	 250963.68718901122 	 6.318491312623491e10
4.23220227237928e-6 	 1.897611721155711e-11 	 4.4837453387805645e-6 	 1.0594355019472808 	 250327.23716007132 	 5.914822143397724e10
4.509572135676144e-6 	 2.289872688893227e-11 	 5.0778047672806414e-6 	 1.1260058858154396 	 249692.39917627163 	 5.536942123641934e10
4.8051202513612424e-6 	 2.76321907019401e-11 	 5.7505721514695035e-6 	 1.196759259009267 	 249059.16947036595 	 5.18320367528388e10
5.120037984840893e-6 	 3.334412251054341e-11 	 6.512475612342471e-6 	 1.2719584564849375 	 248427.54296957902 	 4.852064451574552e10
5.455594781168514e-6 	 4.0236784217169264e-11 	 7.375324933599833e-6 	 1.351882833941002 	 247797.51579193483 	 4.5420806663881294e10
5.813143282224713e-6 	 4.8554247750933985e-11 	 8.35249457886269e-6 	 1.4368292975682782 	 247169.08354242353 	 4.251900762505048e10
6.19412477926676e-6 	 5.85910376419056e-11 	 9.459130987807029e-6 	 1.5271134058308025 	 246542.24127715695 	 3.9802595211254654e10
6.600075022827089e-6 	 7.070256058812753e-11 	 1.0712387411293797e-5 	 1.6230705521140019 	 245916.9852615967 	 3.725972574721737e10
7.032630413380643e-6 	 8.531768991515605e-11 	 1.2131689695057235e-5 	 1.7250571950965685 	 245293.3104254116 	 3.487931200802248e10
7.493534597735756e-6 	 1.0295395246488609e-10 	 1.3739037449162456e-5 	 1.8334521940172053 	 244671.2122435787 	 3.2650975191001114e10
7.984645497739095e-6 	 1.2423585437360191e-10 	 1.5559345046537144e-5 	 1.948658215438979 	 244050.68653213905 	 3.056499961097128e10
8.507942799627444e-6 	 1.4991699413321635e-10 	 1.762082769759349e-5 	 2.071103216439712 	 243431.72788260915 	 2.861229014060471e10
