# The input matter Power Spectrum as InputPS returns it,
# together with its two asymptotic power laws.
# Input file: WideA_ZA_pk.dat, tabulated on [2.056154633223e-7, 20.22821679002]
# q 	 P(q) 	 left_powerlaw 	 right_powerlaw
4.268891901551232e-8 	 0.2535149286903716 	 0.2535149286903716 	 2.668270003226158e21
4.3283080172080074e-8 	 0.25690136917173184 	 0.25690136917173184 	 2.572616432719257e21
4.388551109719938e-8 	 0.26033304556560044 	 0.26033304556560044 	 2.480391902579206e21
4.4496326892759903e-8 	 0.26381056213116677 	 0.26381056213116677 	 2.391473486732519e21
4.5115644262684694e-8 	 0.26733453119928624 	 0.26733453119928624 	 2.3057426658253485e21
4.574358153522784e-8 	 0.2709055732803008 	 0.2709055732803008 	 2.223085169249054e21
4.638025868558262e-8 	 0.27452431717330034 	 0.27452431717330034 	 2.1433908228289004e21
4.702579735880421e-8 	 0.27819140007684356 	 0.27819140007684356 	 2.0665534019729078e21
4.7680320893051463e-8 	 0.2819074677011573 	 0.2819074677011573 	 1.992470490085097e21
4.834395434315225e-8 	 0.2856731743818353 	 0.2856731743818353 	 1.9210433420544104e21
4.901682450449665e-8 	 0.28948918319505546 	 0.28948918319505546 	 1.8521767526373576e21
4.969905993726288e-8 	 0.2933561660743358 	 0.2933561660743358 	 1.7857789295589468e21
5.039079099098022e-8 	 0.29727480392885075 	 0.29727480392885075 	 1.7217613711627673e21
5.109214982943395e-8 	 0.3012457867633276 	 0.3012457867633276 	 1.660038748447131e21
5.1803270455916864e-8 	 0.30526981379954404 	 0.30526981379954404 	 1.6005287913300524e21
5.252428873883228e-8 	 0.3093475935994495 	 0.3093475935994495 	 1.5431521789914555e21
5.325534243765335e-8 	 0.3134798441899306 	 0.3134798441899306 	 1.4878324341464558e21
5.399657122924362e-8 	 0.3176672931892424 	 0.3176672931892424 	 1.4344958211087988e21
5.474811673454448e-8 	 0.32191067793513267 	 0.32191067793513267 	 1.3830712475085326e21
5.551012254563291e-8 	 0.3262107456146699 	 0.3262107456146699 	 1.3334901695330396e21
5.628273425315696e-8 	 0.3305682533958129 	 0.3305682533958129 	 1.2856865005649571e21
5.70660994741526e-8 	 0.33498396856073465 	 0.33498396856073465 	 1.239596523095335e21
5.786036788024768e-8 	 0.339458668640927 	 0.339458668640927 	 1.1951588037945726e21
5.8665691226258655e-8 	 0.3439931415541111 	 0.3439931415541111 	 1.1523141116279312e21
5.948222337918514e-8 	 0.3485881857429757 	 0.3485881857429757 	 1.1110053389064932e21
6.031012034760816e-8 	 0.35324461031576954 	 0.35324461031576954 	 1.0711774251683241e21
6.114954031149748e-8 	 0.3579632351887712 	 0.3579632351887712 	 1.0327772837883835e21
6.200064365243388e-8 	 0.3627448912306624 	 0.3627448912306624 	 9.957537312193653e20
6.286359298425204e-8 	 0.3675904204088294 	 0.3675904204088294 	 9.600574187691483e20
6.373855318410987e-8 	 0.3725006759376193 	 0.3725006759376193 	 9.256407668239278e20
6.462569142399046e-8 	 0.3774765224285763 	 0.3774765224285763 	 8.924579014293452e20
6.55251772026422e-8 	 0.38251883604268483 	 0.38251883604268483 	 8.604645931451022e20
6.643718237796373e-8 	 0.38762850464464654 	 0.38762850464464654 	 8.296181980915351e20
6.736188119983949e-8 	 0.3928064279592178 	 0.3928064279592178 	 7.998776011095921e20
6.829945034343229e-8 	 0.39805351772963615 	 0.39805351772963615 	 7.712031609584383e20
6.925006894293933e-8 	 0.40337069787816243 	 0.40337069787816243 	 7.43556657477647e20
7.021391862581797e-8 	 0.4087589046687671 	 0.4087589046687671 	 7.169012406435489e20
7.119118354748795e-8 	 0.4142190868719911 	 0.4142190868719911 	 6.912013814518364e20
7.218205042651649e-8 	 0.41975220593200746 	 0.41975220593200746 	 6.664228245609551e20
7.318670858029328e-8 	 0.4253592361359151 	 0.4253592361359151 	 6.425325426331607e20
7.420534996120181e-8 	 0.43104116478529414 	 0.43104116478529414 	 6.194986923123806e20
7.523816919329437e-8 	 0.43679899237005293 	 0.43679899237005293 	 5.972905717802049e20
7.628536360947727e-8 	 0.4426337327445967 	 0.4426337327445967 	 5.758785798334353e20
7.734713328921379e-8 	 0.44854641330635026 	 0.44854641330635026 	 5.5523417642864135e20
7.842368109675186e-8 	 0.4545380751766646 	 0.4545380751766646 	 5.3532984464113716e20
7.951521271988373e-8 	 0.4606097733841409 	 0.4606097733841409 	 5.161390539876736e20
8.062193670924521e-8 	 0.4667625770504026 	 0.4667625770504026 	 4.9763622506395835e20
8.174406451816187e-8 	 0.47299756957834976 	 0.47299756957834976 	 4.7979669544986745e20
8.288181054304976e-8 	 0.47931584884292683 	 0.47931584884292683 	 4.625966868369077e20
8.403539216437855e-8 	 0.4857185273844405 	 0.4857185273844405 	 4.460132733341091e20
8.520502978820474e-8 	 0.49220673260445846 	 0.49220673260445846 	 4.3002435091010585e20
8.639094688828295e-8 	 0.4987816069643252 	 0.4987816069643252 	 4.1460860793067327e20
8.759337004876338e-8 	 0.5054443081863303 	 0.5054443081863303 	 3.997454967524514e20
8.881252900748354e-8 	 0.5121960094575633 	 0.5121960094575633 	 3.854152063349917e20
9.004865669986241e-8 	 0.5190378996364912 	 0.5190378996364912 	 3.7159863583462195e20
